Chương 242: Trên đường đi gặp mâu thuẫn! 
 Converter Dzung Kiều cầu khen thưởng 

	Chẳng lẽ những người ở trước mắt là?
	Gia nhập chiến trường, ở sau lưng hắn còn có thi ma tôn cùng Ngưu ma vương, Hỏa thánh quân cùng Thủy thánh quân cũng tất cả đều đi theo Tống Trang, gia nhập chiến cuộc.

	Nhìn Tống Trang mấy người biểu hiện, Lâm Phong rất là hài lòng, nhưng là cũng ý thức được, Thần vực thánh điện thánh quân thậm chí còn hộ pháp đã có ý kết giao mình, một điểm này Lâm Phong cũng chỉ có thể cười khổ ứng đối, mình đương nhiên biết thực lực là quyết định hết thảy nguyên nhân.

	Duy nhất không có xuất thủ chính là Nguyên Khuê, lúc này Nguyên Khuê ba con mắt nhanh chóng chuyển động, biểu hiện trên mặt ngưng trọng, tựa hồ đang trầm tư cái gì, cuối cùng hắn vẫn không có ra tay, ngược lại là lui về phía sau đến phía sau, hắn cũng không muốn bởi vì là cùng mình không quan trọng người bị thương tổn, bởi vì là Nguyên Khuê liếc mắt liền nhìn ra những thứ này chàng trai không phải người bình thường.

	Lâm Phong đem trong mắt hết thảy đều thấy ở trong mắt, nhưng là không nhịn được cười lạnh, rồi sau đó Lâm Phong ngẩng đầu lên, nhìn về đã rơi vào một mảnh hỗn chiến ba phương đội ngũ, Tử Kiếm đám người và núi Kiếm đệ tử liên hiệp, đối kháng tên này không rõ lai lịch chàng trai.

	Bởi vì Tống Trang mấy người tham chiến, rất nhanh thắng lợi cây cân hướng núi Kiếm cái này nghiêng, bốn cái núi Kiếm đệ tử vẻ kiêu ngạo kích động cầm chặt quả đấm, hơn nữa ra sức chiến đấu những thứ này vô sỉ chàng trai.

	Người khác không biết bọn họ thân phận, bọn họ có thể không phải không biết, vì tham gia lần này đỉnh cấp giải thi đấu, cái thế lực này không tiếc âm thầm tiêu diệt những thứ khác tham gia thi đấu thế lực, chính là vì giảm thiếu cùng bọn họ đối kháng thế lực, như vậy âm mưu quỷ kế, làm sao không để cho bọn họ tức giận tức giận.

	Tống Trang mấy người cũng đã là thánh linh hoàng cường giả, cho nên chiến đấu thế cục đã hướng bọn họ nghiêng, cho nên đối với mặt sáu tên hung thần ác sát chàng trai cũng không khỏi không từng bước lui về phía sau, mỗi người sắc mặt tràn đầy tức giận, bọn họ rất nghi hoặc, kết quả từ đâu tới như vậy một nhóm người.

	"Dừng tay "

	Rốt cuộc, đối diện sáu người đàn ông để không đỡ nổi, cầm đầu người đàn ông áo bào đen không nhịn được nổi giận gầm lên một tiếng, cánh tay vung lên, lập tức những thứ khác năm người cũng ngưng chiến đấu, cùng nhau đứng ở phía sau nam tử, ánh mắt âm độc nhìn Tống Trang các người.

	"Các người là thế lực kia? Lại dám đối với chúng ta phái Tru Tiên ra tay, các người là không muốn sống?"

	Cầm đầu người đàn ông áo bào đen bộ mặt tức giận trừng mắt nhìn Tống Trang mấy người, rồi sau đó gầm thét lên tiếng, mặt đầy sát ý, còn có không có gì sánh kịp tự hào cùng phách lối thần sắc, bọn họ phái Tru Tiên, ở Thần lục người nào không biết, người nào không hiểu?

	Hừ, chờ đi, xem bố ghi tên tàu sau đó, các người những thứ này người đê tiện sẽ như thế nào lựa chọn? Người đàn ông áo đen suy nghĩ, trên mặt lãnh khốc nụ cười hơn nữa chân, thậm chí bắt đầu cân nhắc phải thế nào trừng phạt những thứ này rác rưởi.

	Nhưng mà, người đàn ông áo bào đen nói, lại để cho Tống Trang mấy người lắc đầu liên tục, cười nhạo, bọn họ sống ở Thần lục đông phương, căn bản cũng không biết cái gì phái Tru Tiên, lại cần gì phải để ý thế lực của đối phương?

	Chẳng qua là Tống Trang bọn họ vẻ kiêu ngạo không có vấn đề, một bên Tử Kiếm tông chủ nhưng không nhịn được sắc mặt ngưng trọng, liếc nhìn người đàn ông áo bào đen phách lối nụ cười tự tin, vừa nhìn về phía núi Kiếm bốn người đệ tử bộ mặt tức giận cầm chặt quả đấm trừng mắt nhìn người đàn ông áo bào đen.

	Tử Kiếm tông chủ hơi trầm tư, rồi sau đó đi tới núi Kiếm đệ tử bên người, trầm giọng hỏi: "Đến tột cùng là chuyện gì xảy ra, đơn giản cùng ta nói một chút?"

	"Nhị trưởng lão, là bọn họ phái Tru Tiên khi dễ người, ngài có thể không biết, chúng ta Thần lục trung tâm lần này phái ra chúng ta lục đại môn phái tới tham gia thi đấu, nhưng mà từ lên đường đến hôm nay, Kỳ Lân tông cùng Long tông đội ngũ tất cả đều bị ám sát, nhưng mà để cho chúng ta không nghĩ tới chính là, Kỳ Lân tông cùng Long tông chuẩn bị đệ tử lại một mực không buông là chúng ta giết bọn họ hai tông đệ tử "

	"Cứ như vậy, chúng ta núi Kiếm cùng hai đại tông môn quan hệ trở nên ác liệt, chẳng qua là không ai nghĩ tới, hôm nay chúng ta chạy tới mảnh núi rừng này sau đó, lại trúng đám hỗn đản kia mai phục, bây giờ chúng ta coi là hoàn toàn biết, chân chính bàn tay đen sau màn chính là bọn họ phái Tru Tiên, bọn họ phải làm lần này cuộc tranh tài thứ nhất tên, cho nên mới thi triển như vậy quỹ tích "

	"Bởi vì là chúng ta sáu trong cửa, núi Kiếm, Kỳ Lân tông, Long tông thực lực tương đối hơi kém, cho nên phái Tru Tiên chỉ có thể chọn chúng ta, đem chúng ta cho xử lý xong, mà phong tộc, Thần tộc thì không phải là bọn họ có thể đối phó "

	Cầm đầu núi Kiếm đệ tử, cũng chính là Mạnh Kha trả lời nơi này, cả người đều là tức giận, hận không thể lập tức giết đám chó này rác rưởi, nhưng mà nhưng không có đầy đủ thực lực, để cho hắn rất là tức giận.

	Tử Kiếm tông chủ nghe đến chỗ này, cũng là mặt đầy xanh mét, hắn làm sao cũng không nghĩ ra, phái Tru Tiên lại như vậy âm hiểm, lại chơi âm độc tàn nhẫn chiêu số.

	Tử Kiếm tông chủ đưa mắt rơi vào đối diện sáu phái Tru Tiên chàng trai trên mình, cuối cùng ánh mắt dừng lại ở cầm đầu người đàn ông áo bào đen trên mình, trầm giọng quát lên: "Phái Tru Tiên, làm ra như vậy hèn hạ sự việc, có thẹn với lục đại môn phái, trở về sau đó, ta nhất định phải vén lên các người phái Tru Tiên kinh tởm mặt mũi "

	"Ừ ? Hề hề, trở về, hôm nay các người người ở chỗ này, ai cũng không trở về rồi, ha ha "
