Chương 146: Khả nghi 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Một nén nhang thời gian đã qua hơn nửa.
	Không lâu lắm, Tần Thiên từ bên ngoài đi vào, Lý Uyên thấy hắn sau đó, liền vội vẫy tay: "Tần ái khanh tới sớm à, ăn cơm chưa có, tới, cùng trẫm ăn chung điểm."

	Có thể cùng thiên tử ăn cùng bàn, đây quả thực là thiên đại quang vinh.

	Có thể Tần Thiên nghe nói như vậy sau đó, nhưng là đột nhiên lộ ra thần sắc kinh khủng tới, cái này làm cho Lý Uyên nhất thời có chút mộng, chẳng qua là ăn cơm mà thôi, chưa đến nỗi chứ ?Chương 146: Khả nghi 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Một nén nhang thời gian đã qua hơn nửa.

	Lý Thế Dân ở phòng khách đi tới đi lui.

	"Tình huống thế nào?"

	"Bọn họ hai người cũng còn chưa ngủ trước."

	Lý Thế Dân dần dần sinh ra vẻ lo lắng tới, nếu như thuốc này không dùng, vậy vậy cũng không có biện pháp chữa trị hắn phụ hoàng bị bệnh, như vậy, chẳng phải là muốn công dã tràng?

	Hắn chân chính lo lắng, ngược lại không phải là dược liệu như thế nào, mà là thuốc này không được, cứu hắn phụ hoàng cũng chỉ vô vọng.

	Ngược lại là Tần Thiên, ngồi ở một bên thần sắc bình tĩnh, tựa như một chút cũng không lo lắng.

	Một nén nhang thời gian sắp hết, Lý Thế Dân rốt cuộc không kịp đợi.

	"Tần Thiên, ngươi thuốc này. . ."

	Vừa mới nói cái mở đầu, một tên đầy tớ vội vàng chạy tới: "Vương gia, ngủ, ngủ à. . ."

	Lý Thế Dân thần sắc đột nhiên động một cái: "Ngủ?"

	"Đúng vậy, cũng ngủ, kêu cũng kêu không tỉnh."

	Nghe được cái này, Lý Thế Dân mới rốt cục thở phào nhẹ nhõm, tiếp hưng phấn nhìn về Tần Thiên nói: " Được a, cái này thuốc ngủ quả nhiên hữu hiệu, chúng ta cái này thì vào cung."

	Lý Thế Dân phải nhanh chóng vào cung đem thuốc ngủ cho dâng lên đi, Tần Thiên nhưng là không nhanh không chậm ngăn cản hắn: "Vương gia không gấp, có chuyện, Vương gia không cảm thấy kỳ quái sao?"

	Lý Thế Dân chân mày hơi chăm chú: "Ngươi nói là phụ hoàng bệnh lâu chữa trị không khỏi bệnh?"

	Tần Thiên gật đầu: "Mất ngủ thật ra thì không tính lớn chuyện, mất ngủ 1-2 ngày cũng coi là là bình thường, ai còn không có mất ngủ qua, có thể liên tiếp mất ngủ nhiều ngày như vậy, cũng có chút để cho người cảm thấy kỳ quái, không phải sao?"

	Nói Tần Thiên cũng không có nói quá rõ, nhưng lấy Lý Thế Dân thông minh tài trí, vẫn là rất mau liền nghe được trong đó hàm nghĩa, hắn phụ hoàng chứng mất ngủ, chỉ sợ là có người cố ý làm à.

	Lý Thế Dân nặng mi, suy nghĩ tỉ mỉ, chỉ chốc lát sau gật đầu một cái: "Tốt lắm, bổn vương rõ ràng nên làm như thế nào."

	Tần Thiên cười yếu ớt, hắn biết Lý Thế Dân là một người thông minh, rất nhiều chuyện chỉ cần hơi điểm bát một chút là được, làm gì, hắn Tần Thiên cũng không cần đưa mỏ.

	"Bây giờ có thể vào cung."

	Hai người bất chấp mưa phùn lần nữa vào hoàng cung, đây là đã là trước hoàng hôn.

	Hoàng cung ở hoàng hôn hạ lộ vẻ được hơi có chút loang lổ, khá vậy khá là thi ý.

	Hai người đi tới Lý Uyên tẩm cung sau đó, Tần Thiên đem một viên thuốc ngủ lấy ra.

	"Thánh thượng, chỉ cần dùng nước ăn vào là được."

	Lý Uyên nhìn vậy một viên thuốc ngủ, hỏi: "Thật có thể được không?"

	Lý Thế Dân liền vội vàng nói: "Phụ hoàng yên tâm, nhi thần đã ở trong phủ tìm người thử qua, tuyệt đối là có thể được, một nén nhang bên trong, tất có thể ngủ."

	Lý Uyên nghe nói như vậy sau đó, mới rốt cục yên tâm đem viên kia thuốc ngủ cho nuốt vào.

	Lý Uyên ăn tiếp sau đó, Lý Thế Dân và Tần Thiên hai người liền thối lui ra khỏi tẩm cung, để cho Lý Uyên nghỉ ngơi, bất quá tuy là như vậy, bọn họ cũng không có cứ như vậy rời đi hoàng cung.

	Bọn họ là nhất định phải đến khi có kết quả sau đó, mới có thể rời đi.

	Mà đang ở hai người ở trong cung các loại tin tức lúc này đông cung bên này, Lý Kiến Thành cũng đã lấy được tin tức.

	"Tần Thiên vậy cái gì thuốc ngủ phụ hoàng ăn?"

	"Hồi thái tử nói, ăn."

	Lý Kiến Thành chân mày sâu ngưng, mặc dù không tin Tần Thiên có bản lãnh này, cũng không biết tại sao, hắn vẫn là có chút tâm thần không yên.

	Tống Công Khanh ở bên cạnh thấy vậy, nói: "Thái tử điện hạ yên tâm đi, chỉ cần Thánh thượng còn đang uống huyễn thuốc, bỏ mặc Tần Thiên làm ra linh đan diệu dược gì tới, cũng vô ích."

	Đối với huyễn thuốc, Tống Công Khanh vẫn là rất tự tin, vật này cũng không phải là độc, vậy thì có cái gì giải dược à, không có giải dược, bệnh này chính là không thể chữa trị.

	Nhưng ngay khi Tống Công Khanh đối với huyễn thuốc tràn đầy tự tin trước lúc này một người thám tử lại đột nhiên vội vả báo lại: "Thái tử điện hạ, Thánh thượng ngủ, hơn nữa ngủ rất say sưa."

	Thám tử nếu lối ra, Tống Công Khanh sắc mặt nhất thời thì trở nên được tái nhợt, hắn chà một chút đứng lên, nói: "Điều này sao có thể, làm sao có thể?"

	Lý Kiến Thành bĩu môi: "Ngươi không phải nói huyễn thuốc không có giải dược sao, có thể phụ hoàng làm sao ăn Tần Thiên thuốc ngủ sau rất nhanh liền ngủ?"

	Tống Công Khanh sắc mặt không tốt lắm xem, nhưng hắn vẫn là nói: "Thái tử điện hạ yên tâm, không ra 2 tiếng, Thánh thượng nhất định sẽ tỉnh lại, dẫu sao huyễn thuốc ở Thánh thượng trong cơ thể dược liệu sẽ từ từ phát tác."

	Lý Kiến Thành hừ một tiếng: "Tạm thời lại tin ngươi một lần."

	Nói xong, hai người liền lại tiếp tục đợi đi xuống, nhưng mà bọn họ đến khi nửa đêm, từ hoàng cung nơi đó tin tức truyền đến, vẫn như cũ là Lý Uyên ngủ rất say sưa.

	Lúc này, Lý Kiến Thành rốt cuộc không nhịn được.

	"Tống tiên sinh, đây chính là ngươi nói cái gì không có giải dược huyễn thuốc? Có thể kết quả đâu, Tần Thiên một viên thuốc ngủ liền toàn giải quyết, ngươi còn có cái gì có thể nói?"

	Lý Kiến Thành mặc dù còn gọi Tống Công Khanh là tiên sinh, nhưng giọng bây giờ, cũng đã không thế nào thân thiện.

	Tống Công Khanh tự nhiên rõ ràng tình cảnh của hắn lúc này, bất quá hắn rốt cuộc là một có thành phủ người, đi qua thời gian dài như vậy chờ đợi, hắn đã sớm nghĩ tới xuất hiện loại chuyện này sau đó, mình phải làm gì.

	Cho nên lúc này, Tống Công Khanh chẳng qua là cười nhạt: "Thái tử điện hạ bớt giận, Thánh thượng cũng bất quá là ngủ mà thôi, nhưng chỉ cần hắn còn tiếp tục uống huyễn thuốc, hắn thân thể cũng sẽ không chuyển biến tốt, thái tử điện hạ hãy yên tâm."

	Lý Kiến Thành hừ một tiếng, nhưng cũng không có tiếp tục nói nữa, bởi vì lúc này nói quá nhiều cũng không có ích gì, hắn chỉ có thể tạm thời lựa chọn tin tưởng Tống Công Khanh nếu.

	Bất quá lúc này, hắn vậy rất buồn bực, Tần Thiên thuốc ngủ thì thật như thế lợi hại, một viên sau đó cứ như vậy ngủ?

	Trước kia những cái kia ngự y cái gì cũng không thiếu cho Lý Uyên hốt thuốc, cũng đều không thế nào thấy hiệu quả à, một đám ngự y, Đại Đường đứng đầu nhất đại phu, y thuật còn chưa kịp một cái nho nhỏ Tần Thiên?

	Mưa ở nửa đêm thời điểm ngừng.

	Trường An rất yên tĩnh, một đêm này vậy rất yên tĩnh.

	Bữa nay giờ Thìn, Lý Uyên mới rốt cục từ trong giấc ngủ tỉnh lại, hắn cho tới bây giờ không có giống tối ngày hôm qua ngủ thơm như vậy qua, cho tới hắn sau khi mở mắt, cảm giác cả người cả người trên dưới đều tràn đầy khí lực.

	Bất quá hắn trước nhất cảm giác được là đói.

	" Người đâu, cho trẫm truyền thiện."

	Lý Uyên phân phó một câu, ngay sau đó thì có một người cung nữ đem Lý Uyên bữa ăn sáng lấy ra, bữa ăn sáng tương đối mà nói không hề coi là phong phú, nhưng thắng ở tinh xảo.

	Mấy ngày nay Lý Uyên cũng không thế nào ăn cơm, đêm qua ngủ tốt, hắn hôm nay ngược lại cũng khẩu vị lớn lái, cầm đũa thì đi ăn, có thể vừa lúc đó, một người thái giám gấp vội vã chạy tới: "Thánh thượng, Tần Thiên tới."

	Nghe được Tần Thiên tới, Lý Uyên trong lòng vui mừng, nói: "Mau tuyên."

	Tần Thiên để cho hắn ngủ một cái tốt giác, bây giờ Lý Uyên đối với Tần Thiên thật là thích không được, ân nhân cứu mạng à.

	Không lâu lắm, Tần Thiên từ bên ngoài đi vào, Lý Uyên thấy hắn sau đó, liền vội vẫy tay: "Tần ái khanh tới sớm à, ăn cơm chưa có, tới, cùng trẫm ăn chung điểm."

	Có thể cùng thiên tử ăn cùng bàn, đây quả thực là thiên đại quang vinh.

	Có thể Tần Thiên nghe nói như vậy sau đó, nhưng là đột nhiên lộ ra thần sắc kinh khủng tới, cái này làm cho Lý Uyên nhất thời có chút mộng, chẳng qua là ăn cơm mà thôi, chưa đến nỗi chứ ?Chương 146: Khả nghi 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Một nén nhang thời gian đã qua hơn nửa.

	Lý Thế Dân ở phòng khách đi tới đi lui.

	"Tình huống thế nào?"

	"Bọn họ hai người cũng còn chưa ngủ trước."

	Lý Thế Dân dần dần sinh ra vẻ lo lắng tới, nếu như thuốc này không dùng, vậy vậy cũng không có biện pháp chữa trị hắn phụ hoàng bị bệnh, như vậy, chẳng phải là muốn công dã tràng?

	Hắn chân chính lo lắng, ngược lại không phải là dược liệu như thế nào, mà là thuốc này không được, cứu hắn phụ hoàng cũng chỉ vô vọng.

	Ngược lại là Tần Thiên, ngồi ở một bên thần sắc bình tĩnh, tựa như một chút cũng không lo lắng.

	Một nén nhang thời gian sắp hết, Lý Thế Dân rốt cuộc không kịp đợi.

	"Tần Thiên, ngươi thuốc này. . ."

	Vừa mới nói cái mở đầu, một tên đầy tớ vội vàng chạy tới: "Vương gia, ngủ, ngủ à. . ."

	Lý Thế Dân thần sắc đột nhiên động một cái: "Ngủ?"

	"Đúng vậy, cũng ngủ, kêu cũng kêu không tỉnh."

	Nghe được cái này, Lý Thế Dân mới rốt cục thở phào nhẹ nhõm, tiếp hưng phấn nhìn về Tần Thiên nói: " Được a, cái này thuốc ngủ quả nhiên hữu hiệu, chúng ta cái này thì vào cung."

	Lý Thế Dân phải nhanh chóng vào cung đem thuốc ngủ cho dâng lên đi, Tần Thiên nhưng là không nhanh không chậm ngăn cản hắn: "Vương gia không gấp, có chuyện, Vương gia không cảm thấy kỳ quái sao?"

	Lý Thế Dân chân mày hơi chăm chú: "Ngươi nói là phụ hoàng bệnh lâu chữa trị không khỏi bệnh?"

	Tần Thiên gật đầu: "Mất ngủ thật ra thì không tính lớn chuyện, mất ngủ 1-2 ngày cũng coi là là bình thường, ai còn không có mất ngủ qua, có thể liên tiếp mất ngủ nhiều ngày như vậy, cũng có chút để cho người cảm thấy kỳ quái, không phải sao?"

	Nói Tần Thiên cũng không có nói quá rõ, nhưng lấy Lý Thế Dân thông minh tài trí, vẫn là rất mau liền nghe được trong đó hàm nghĩa, hắn phụ hoàng chứng mất ngủ, chỉ sợ là có người cố ý làm à.

	Lý Thế Dân nặng mi, suy nghĩ tỉ mỉ, chỉ chốc lát sau gật đầu một cái: "Tốt lắm, bổn vương rõ ràng nên làm như thế nào."

	Tần Thiên cười yếu ớt, hắn biết Lý Thế Dân là một người thông minh, rất nhiều chuyện chỉ cần hơi điểm bát một chút là được, làm gì, hắn Tần Thiên cũng không cần đưa mỏ.

	"Bây giờ có thể vào cung."

	Hai người bất chấp mưa phùn lần nữa vào hoàng cung, đây là đã là trước hoàng hôn.

	Hoàng cung ở hoàng hôn hạ lộ vẻ được hơi có chút loang lổ, khá vậy khá là thi ý.

	Hai người đi tới Lý Uyên tẩm cung sau đó, Tần Thiên đem một viên thuốc ngủ lấy ra.

	"Thánh thượng, chỉ cần dùng nước ăn vào là được."

	Lý Uyên nhìn vậy một viên thuốc ngủ, hỏi: "Thật có thể được không?"

	Lý Thế Dân liền vội vàng nói: "Phụ hoàng yên tâm, nhi thần đã ở trong phủ tìm người thử qua, tuyệt đối là có thể được, một nén nhang bên trong, tất có thể ngủ."

	Lý Uyên nghe nói như vậy sau đó, mới rốt cục yên tâm đem viên kia thuốc ngủ cho nuốt vào.

	Lý Uyên ăn tiếp sau đó, Lý Thế Dân và Tần Thiên hai người liền thối lui ra khỏi tẩm cung, để cho Lý Uyên nghỉ ngơi, bất quá tuy là như vậy, bọn họ cũng không có cứ như vậy rời đi hoàng cung.

	Bọn họ là nhất định phải đến khi có kết quả sau đó, mới có thể rời đi.

	Mà đang ở hai người ở trong cung các loại tin tức lúc này đông cung bên này, Lý Kiến Thành cũng đã lấy được tin tức.

	"Tần Thiên vậy cái gì thuốc ngủ phụ hoàng ăn?"

	"Hồi thái tử nói, ăn."

	Lý Kiến Thành chân mày sâu ngưng, mặc dù không tin Tần Thiên có bản lãnh này, cũng không biết tại sao, hắn vẫn là có chút tâm thần không yên.

	Tống Công Khanh ở bên cạnh thấy vậy, nói: "Thái tử điện hạ yên tâm đi, chỉ cần Thánh thượng còn đang uống huyễn thuốc, bỏ mặc Tần Thiên làm ra linh đan diệu dược gì tới, cũng vô ích."

	Đối với huyễn thuốc, Tống Công Khanh vẫn là rất tự tin, vật này cũng không phải là độc, vậy thì có cái gì giải dược à, không có giải dược, bệnh này chính là không thể chữa trị.

	Nhưng ngay khi Tống Công Khanh đối với huyễn thuốc tràn đầy tự tin trước lúc này một người thám tử lại đột nhiên vội vả báo lại: "Thái tử điện hạ, Thánh thượng ngủ, hơn nữa ngủ rất say sưa."

	Thám tử nếu lối ra, Tống Công Khanh sắc mặt nhất thời thì trở nên được tái nhợt, hắn chà một chút đứng lên, nói: "Điều này sao có thể, làm sao có thể?"

	Lý Kiến Thành bĩu môi: "Ngươi không phải nói huyễn thuốc không có giải dược sao, có thể phụ hoàng làm sao ăn Tần Thiên thuốc ngủ sau rất nhanh liền ngủ?"

	Tống Công Khanh sắc mặt không tốt lắm xem, nhưng hắn vẫn là nói: "Thái tử điện hạ yên tâm, không ra 2 tiếng, Thánh thượng nhất định sẽ tỉnh lại, dẫu sao huyễn thuốc ở Thánh thượng trong cơ thể dược liệu sẽ từ từ phát tác."

	Lý Kiến Thành hừ một tiếng: "Tạm thời lại tin ngươi một lần."

	Nói xong, hai người liền lại tiếp tục đợi đi xuống, nhưng mà bọn họ đến khi nửa đêm, từ hoàng cung nơi đó tin tức truyền đến, vẫn như cũ là Lý Uyên ngủ rất say sưa.

	Lúc này, Lý Kiến Thành rốt cuộc không nhịn được.

	"Tống tiên sinh, đây chính là ngươi nói cái gì không có giải dược huyễn thuốc? Có thể kết quả đâu, Tần Thiên một viên thuốc ngủ liền toàn giải quyết, ngươi còn có cái gì có thể nói?"

	Lý Kiến Thành mặc dù còn gọi Tống Công Khanh là tiên sinh, nhưng giọng bây giờ, cũng đã không thế nào thân thiện.

	Tống Công Khanh tự nhiên rõ ràng tình cảnh của hắn lúc này, bất quá hắn rốt cuộc là một có thành phủ người, đi qua thời gian dài như vậy chờ đợi, hắn đã sớm nghĩ tới xuất hiện loại chuyện này sau đó, mình phải làm gì.

	Cho nên lúc này, Tống Công Khanh chẳng qua là cười nhạt: "Thái tử điện hạ bớt giận, Thánh thượng cũng bất quá là ngủ mà thôi, nhưng chỉ cần hắn còn tiếp tục uống huyễn thuốc, hắn thân thể cũng sẽ không chuyển biến tốt, thái tử điện hạ hãy yên tâm."

	Lý Kiến Thành hừ một tiếng, nhưng cũng không có tiếp tục nói nữa, bởi vì lúc này nói quá nhiều cũng không có ích gì, hắn chỉ có thể tạm thời lựa chọn tin tưởng Tống Công Khanh nếu.

	Bất quá lúc này, hắn vậy rất buồn bực, Tần Thiên thuốc ngủ thì thật như thế lợi hại, một viên sau đó cứ như vậy ngủ?

	Trước kia những cái kia ngự y cái gì cũng không thiếu cho Lý Uyên hốt thuốc, cũng đều không thế nào thấy hiệu quả à, một đám ngự y, Đại Đường đứng đầu nhất đại phu, y thuật còn chưa kịp một cái nho nhỏ Tần Thiên?

	Mưa ở nửa đêm thời điểm ngừng.

	Trường An rất yên tĩnh, một đêm này vậy rất yên tĩnh.

	Bữa nay giờ Thìn, Lý Uyên mới rốt cục từ trong giấc ngủ tỉnh lại, hắn cho tới bây giờ không có giống tối ngày hôm qua ngủ thơm như vậy qua, cho tới hắn sau khi mở mắt, cảm giác cả người cả người trên dưới đều tràn đầy khí lực.

	Bất quá hắn trước nhất cảm giác được là đói.

	" Người đâu, cho trẫm truyền thiện."

	Lý Uyên phân phó một câu, ngay sau đó thì có một người cung nữ đem Lý Uyên bữa ăn sáng lấy ra, bữa ăn sáng tương đối mà nói không hề coi là phong phú, nhưng thắng ở tinh xảo.

	Mấy ngày nay Lý Uyên cũng không thế nào ăn cơm, đêm qua ngủ tốt, hắn hôm nay ngược lại cũng khẩu vị lớn lái, cầm đũa thì đi ăn, có thể vừa lúc đó, một người thái giám gấp vội vã chạy tới: "Thánh thượng, Tần Thiên tới."

	Nghe được Tần Thiên tới, Lý Uyên trong lòng vui mừng, nói: "Mau tuyên."

	Tần Thiên để cho hắn ngủ một cái tốt giác, bây giờ Lý Uyên đối với Tần Thiên thật là thích không được, ân nhân cứu mạng à.

	Không lâu lắm, Tần Thiên từ bên ngoài đi vào, Lý Uyên thấy hắn sau đó, liền vội vẫy tay: "Tần ái khanh tới sớm à, ăn cơm chưa có, tới, cùng trẫm ăn chung điểm."

	Có thể cùng thiên tử ăn cùng bàn, đây quả thực là thiên đại quang vinh.

	Có thể Tần Thiên nghe nói như vậy sau đó, nhưng là đột nhiên lộ ra thần sắc kinh khủng tới, cái này làm cho Lý Uyên nhất thời có chút mộng, chẳng qua là ăn cơm mà thôi, chưa đến nỗi chứ ?Chương 146: Khả nghi 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Một nén nhang thời gian đã qua hơn nửa.

	Lý Thế Dân ở phòng khách đi tới đi lui.

	"Tình huống thế nào?"

	"Bọn họ hai người cũng còn chưa ngủ trước."

	Lý Thế Dân dần dần sinh ra vẻ lo lắng tới, nếu như thuốc này không dùng, vậy vậy cũng không có biện pháp chữa trị hắn phụ hoàng bị bệnh, như vậy, chẳng phải là muốn công dã tràng?

