Chương 15: Bà nội 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	"Bao nhiêu tiền?"
	Hắn loại này từ trong ở giữa cắt, dĩ nhiên là làm xử lý rác thải, mấy trăm đồng tiền đồ, có thể mở ra thứ tốt gì? Nếu bây giờ Trương Hoa muốn tự mình động thủ, hắn cũng vui vẻ thanh nhàn, còn không dùng chịu trách nhiệm gì, thế nào mà không làm chứ?

	Thấy Trương Hoa tự mình ra trận cử động, không chỉ là Trương Bình, liền liền những cái kia đám người vây xem cũng cười lên, một cái chàng trai nghèo còn nghĩ mở ngọc phát tài, thật làm thứ tốt là tốt như vậy chỗ sao?

	Ý nghĩ của những người này ở Trương Hoa trong lòng không quan trọng, bắt đầu chuyên tâm cắt lên liền mình chọn lựa mao thạch.

	Trương Hoa bây giờ còn chưa nhập trúc cơ, không có thần thức, nhưng là dùng nội khí ở mao thạch trong đi dạo lay động một vòng, trên căn bản đã thăm dò rõ ngọc thạch mạch lạc.

	Vừa vặn ở chính giữa, không lớn, chỉ lớn chừng quả đấm, cụ thể chất liệu hắn không biết, nhưng cầm tới bày trận, nhưng là tương đối tốt đồ.

	"Tí tách. . ."

	Thanh âm chói tai vang lên, đao mảnh không ngừng cắt đá vụn, một viên mao thạch, ở Trương Hoa chính xác nắm trong tay hạ, bị nạo hơn nửa.

	"Rào."

	Trương Hoa từ máy cắt bên cạnh trong hồ, múc một gáo nước dính đi lên.

	"Ha ha, liền là một hòn đá. . . Ra xanh biếc?" Đã sớm không kịp chờ đợi muốn giễu cợt một phen Trương Bình lời mới vừa lối ra, bỗng nhiên giống như một cái bị bóp cổ con vịt vậy hơi ngừng.

	Nguyên bản đang nhàm chán rút ra thuốc phiện cắt ngọc sư phụ nghe vậy, cũng tiến tới nhìn một cái. Cái này vừa thấy không đánh chặt, cả người đều ngẩn ở tại chỗ, một đôi mắt trừng so con nghé nhỏ còn lớn hơn.

	"Trời ạ, cái này. . . Đây lại là bà nội xanh lá, cực phẩm!"

	Cắt ngọc sư phụ không thể tin nói.

	"Anh bạn trẻ, ngươi bây giờ dù sao cũng đừng lại tiếp tục cắt, ta lập tức đi thông báo quản lý, đi tìm chuyên nghiệp mở người ngọc sĩ tới!" Cắt ngọc sư phụ một mặt hâm mộ nói, sau đó liền lảo đảo nghiêng ngã chạy ra ngoài.

	Bà nội xanh lá à, đây chính là cao cấp nhất đế vương lục, trong ngọc Đế Hoàng, nếu là cái nào mở ngọc sư phụ có thể mở ra, đủ thổi đời trước.

	"Ông chủ Trương, ngươi kiến thức nhiều, cho chúng ta phổ cập khoa học một chút, cái gì là bà nội xanh lá à? Thật giống như rất đáng tiền dáng vẻ à?"

	Trương Bình bên cạnh một cái quần chúng bu quanh mở miệng dò hỏi, cắt ngọc sư phó diễn cảm, cũng làm bọn họ cho hù dọa ré bất ngờ.

	Những thứ khác những cái kia người vây xem nghe vậy, cũng đem đầu nhìn về Trương Bình, cũng muốn biết cái này bà nội xanh lá là cái đồ chơi gì.

	Tấm bằng phẳng khóe miệng hơi co quắp, hắn mặc dù đổ thạch kỹ thuật không kiểu nào, nhưng đối với ngọc thạch chủng loại, đây chính là cái thạo nghề.

	Bà nội xanh lá là phỉ thúy trong màu sắc tốt nhất, giá trị cao nhất xanh lá ngọc, thuần khiết không rãnh, ở dưới ánh mặt trời tiên thúy ướt át, tựa như cùng cuối mùa thu mặt hồ vậy đẹp.

	Bà nội xanh lá còn có một danh hiệu, gọi là đế vương ngọc, có thể gọi chi là đế vương đồ, há lại sẽ kém đây. Trương Bình từng nghe qua một cái truyền thuyết, ở kinh thành lớn phúc châu báu, đã từng bán đấu giá đối với đế vương lục chế tạo vòng tay, giá sau cùng hai ngàn nhiều vạn, vậy còn là ở số không mấy năm thời điểm.

	Mà bây giờ, Trương Hoa mở ra đế vương lục, chừng cỡ quả đấm, đây nhất định không dứt chế tạo một đống vòng tay, hắn giá trị có thể tưởng tượng được.

	Suy nghĩ trước tự mình nói dạy mà nói, lúc này Trương Bình chỉ cảm thấy trên mặt đau rát! Liền mình điểm này trình độ lại nơi nào có tư cách nói người ta đâu ?

	Cái gì gọi là đại sư? Đây mới gọi là làm đại sư, không ra nhiều, liền mở một khối, đặc biệt liền mở ra giá trị dù sao cũng đi lên đế vương lục.

	Làm những cái kia quần chúng vây xem ở biết đế vương lục khái niệm sau đó, không một không đúng Trương Hoa đầu đi ánh mắt hâm mộ, đây chính là điển hình bay lên chi đầu đổi Phượng Hoàng, 1 bước lên trời à.

	Mà làm là người trong cuộc Trương Hoa, nhưng ổn định vô cùng, đối với hắn mà nói, mở ra trọc ngọc cùng đế vương lục, đối với hắn mà nói, không có nửa điểm khác biệt, đều là bố trí tụ linh trận trận pháp nguyên liệu mà thôi, cuối cùng nhất định sẽ bị tiêu hao không còn một mống.

	Hắn tiếp tục cầm máy cắt, đem một khối lớn chừng quả đấm đế vương lục toàn bộ đều cọ xát đi ra.

	Ở dưới ánh mặt trời, thanh thúy ướt át, kinh tâm động phách đẹp.

	. . .

	Đổ thạch trận mở ra đế vương lục tin tức, lập tức truyền khắp toàn bộ hoàng long ngọc thạch thành phố.

	"Lạc Lạc, dưới lầu có người lái ra đế vương lục nếu không chúng ta đi xem một chút đi!"

	Lầu ba, Giang Đào có chút đau trứng nói, hắn chuẩn bị cùng vô ích, cũng đi mua mấy chục khối mao thạch chơi một chút, không nghĩ tới vào lúc này liền nghe được mở ra đế vương lục tin tức.

	Giang Đào trong lòng ít nhiều có chút hối tiếc, nếu là sớm một chút đi, nói không chừng đế vương kia xanh lá chính là hắn, đến lúc đó liền có thể thật to lậu một lần mặt, thật sự là đáng tiếc tốt như vậy một lần ra vẻ cơ hội.

	"Được, chúng ta vậy thì đi xem xem." Hoa Lạc trong mắt cũng lộ ra vẻ kích động, nàng đời này lớn nhất yêu thích, chính là các loại các dạng ngọc.

	Giống như là đế vương lục loại này cực phẩm ngọc thạch, nàng cũng chỉ gặp qua hai lần, hơn nữa còn là thành phẩm, bị cất giấu vật quý giá không bán cái loại đó. Nàng chịu nhớ được từ mình muốn sờ một cái đều bị chê thật lâu.

	Nàng đã sớm muốn có một khối mình đế vương lục, bất quá loại này cực phẩm ngọc thạch có thể gặp mà không thể cầu, cho dù có tiền, cũng không nhất định có thể mua được.

	'Lần này là cái hiếm có cơ hội, nói không chừng có thể mua được một khối cũng không nhất định.' Hoa Lạc ở kích động trong lòng nghĩ đến, nàng thật quá hy vọng mình cất giấu vật quý giá trong, có thể nhiều một khối đế vương lục.

	Hoa Oánh cũng là nghe qua đế vương lục danh tiếng, bây giờ nghe liền ở dưới lầu lái ra, cũng không khỏi tới một chút hứng thú, đoàn người liền hào hứng đi lầu dưới đổ thạch trận chạy tới.

	Đổ thạch trong sân, Trương Hoa đang chuẩn bị đem đế vương lục cắt thành miếng nhỏ dự bị lúc này Hoa Lạc đoàn người chạy tới.

	Khi thấy rõ Trương Hoa ý đồ, Hoa Lạc nhất thời bị sợ hồn phi phách tán, vội vàng lo lắng nói: "Mau dừng tay, ngươi cái này xuống một đao, cái này đế vương lục sẽ bị hủy à!"

	Nàng từ ra đời đến bây giờ, vẫn là lần đầu tiên thấy lớn như vậy khối đế vương lục, hơn nữa còn là mới vừa rồi đi chung với mình tiểu tử mở ra.

	/*Dzung Kiều : xem hình tổ mẫu lục <a href="http://a1.att.hudong.com/76/69/01300001024098142802697288564_s.jpg">http://a1.att.hudong.com/76/69/01300001024098142802697288564_s.jpg</a>  */
