Chương 22: Chấn nhiếp Long Mạch 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Ta nói đây là một hiểu lầm ngươi thơ không?"
	Bị một kích này, khóa yêu tháp thân tháp đều là vặn vẹo, vô số trận pháp ầm ầm nổ tung, phẩm cấp trực tiếp rơi xuống!

	"Trích Tinh lâu cứ việc phẩm cấp rất cao, nhưng lại là dựa vào tiên thiên thần ma huyết dịch cưỡng ép tăng lên, không có căn cơ, như không có rể lục bình, mà khóa yêu tháp cứ việc bị thương nặng, có thể khóa yêu tháp nơi áp dụng nguyên liệu không một không phải quý trọng cực kỳ vật!"

	Bắc Phong lớn vươn tay ra, hướng khóa yêu tháp cầm hạ, đem nắm trong tay!

	Không có phân nửa chần chờ, Bắc Phong trực tiếp đem khóa yêu tháp cùng Trích Tinh lâu đụng thẳng vào nhau!

	Núi lở đất mòn vậy run run để cho hư không nổ tung, từng cái đen thui kẽ hở tràn ra đi đếm hơn trăm ngàn bên trong.

	Bắc Phong cả người thực lực toàn diện hồi phục, bùng nổ đến mức tận cùng, gắng gượng trấn áp khóa yêu tháp dị động, để cho Trích Tinh lâu đem chiếm đoạt!

	Lấy mắt thường có thể thấy được tốc độ, khóa yêu tháp thân tháp ánh sáng không ngừng ảm đạm xuống, từng luồng đồng xanh tú bắt đầu lan tràn!

	Vô số thần kim tinh hoa bị Trích Tinh lâu hấp thu, lấy này đúc ra Trích Tinh lâu căn cơ!

	Bắc Phong không có nửa điểm đau lòng, dẫu sao chỉ có thích hợp mình nhất, mới là tốt nhất.

	Khóa yêu tháp thời kỳ toàn thịnh so với bây giờ Trích Tinh lâu mạnh hơn, có thể Trích Tinh lâu nhưng là Bắc Phong một chút xíu dựng dưỡng đi ra ngoài, cùng tâm thần tương thông.

	"Rắc rắc!"

	Từng cục rỉ từ khóa yêu tháp lên rụng, số lượng cao thần kim bị chiếm đoạt, để cho khóa yêu tháp bắt đầu sụp đổ!

	Bị trấn áp tại khóa yêu bên trong tháp vô số yêu ma vậy không có thể chạy khỏi, mặc cho giãy giụa như thế nào, cũng là theo không gian cùng nhau băng diệt!

	Khóa yêu bên trong tháp ẩn chứa vô số thế giới nhỏ, trong đó nhốt số lượng cao sinh linh, khóa yêu tháp chính là rút ra lấy những sinh linh này cả người khí huyết tu hành là tài nguyên, tăng lên phẩm cấp!

	Dưới mắt khóa yêu tháp tự thân đều là tan vỡ, tự nhiên bên trong mọi chỗ độc lập không gian cũng là bắt đầu sụp đổ.

	Có thể trốn ra được lúc trước liền đã đi ra rồi, còn dư lại chỉ có thể theo khóa yêu tháp tan vỡ mà mất đi.

	Ầm!

	Hồi lâu sau đó, Trích Tinh lâu đã hoàn toàn hóa là thật thực, toàn thân lóe lên thần kim chói lọi, bền chắc không thể gãy, mà khóa yêu tháp cả người thần kim bị sau khi cắn nuốt, lại cũng không có phân nửa uy năng, ầm ầm đập xuống.

	Mấy vạn trượng khổng lồ khóa yêu tháp đập xuống, trực tiếp để cho sơn xuyên văng tung tóe, đất đai sa vào.

	"Từ hôm nay trở đi, ta chấp chưởng Vạn Cổ thiên tông!"

	Bắc Phong ở trên không bước, ngửa mặt lên trời thét dài, thanh âm từng vòng hướng bốn phía lan tràn đi ra ngoài.

	Đã xa xa rời đi Vạn Cổ thiên tông địa vực vô số đệ tử trưởng lão, điện chủ nghe Bắc Phong thanh âm sau đó đều là ngây ngẩn!

	"Không thể nào!"

	"Lão tổ lại có thể đánh bại!"

	"Tông chủ thực lực mạnh, liền Đệ Nhất Tổ vậy khuất phục cùng dưới, hai người liên thủ lại có thể đánh bại!"

	Vô số đệ tử rối rít sắc mặt tái nhợt, càng có đệ tử, trưởng lão thậm chí điện chủ cũng là không dám tin tưởng!

	Lúc này bên trong tông môn chia hai bộ phận, một số đệ tử trưởng lão ở ba vị điện chủ dưới sự hướng dẫn, trực tiếp rời đi.

	Một phần khác chính là thấp thỏm trong lòng, lưu tại chỗ.

	"Thật là không có nghĩ đến."

	"Ai, đây là ta Vạn Cổ thiên tông tốt nhất, cũng là xấu nhất thời đại."

	Có người cảm thán trước, tâm tình phức tạp.

	Lữ Bố một mặt tịch mịch, quả nhiên vẫn là như vậy, cứ việc mình đã liều mạng tu hành, còn là xem không thấy Bắc Phong hình bóng.

	Trích Tinh lâu đạt được to lớn chỗ tốt, chui vào Bắc Phong ấn đường bên trong, bắt đầu tiêu hóa!

	Không chỉ là tước đoạt khóa yêu tháp thần kim nguyên liệu, liền liền rất nhiều khóa yêu tháp bên trong trận pháp cũng bị Trích Tinh lâu khắc xuống.

	Long Mạch gầm thét, từ dưới mặt đất thò đầu ra lô, trong mắt tràn đầy hung quang!

	Long Mạch gặp đại nạn, đã bắt đầu có hướng nghiệt rồng lột xác khuynh hướng.

	Một khi lột xác, rồng ổ chỗ lập tức thì sẽ hóa là một mảnh đường cùng, mười phần chết chắc!

	Bắc Phong cùng Long Mạch đối mặt, cũng là cảm giác nhức đầu.

	Một cái không xử lý tốt, vô cùng hậu hoạn.

	"Ta biết ngươi có thể nghe hiểu ta nói nói, chuyện lúc trước ta không hề tình, hai người kia đã bị ta nơi chém chết, ngươi như cũ có thể an tâm ở chỗ này chờ đợi cuối cùng hóa rồng ngày hôm đó."

	Bắc Phong tiến lên, không có sợ hãi, nhẹ giọng vừa nói.

	"Ngang!"

	Long Mạch vô cùng to lớn, dáng người lan tràn mấy ngàn dặm, giống như một cái to lớn dãy núi, Bắc Phong so sánh với, liền con kiến hôi cũng không tính.

	Long Mạch gầm thét, không có động tĩnh, đúng mảnh rồng ổ trong phạm vi cỏ cây vào giờ khắc này cành lá bắt đầu ố vàng.

	Mặt đất nứt ra, từng luồng màu đen khói mù bắt đầu từ kẽ hở hạ toát ra.

	Một cổ kinh khủng ý định giết người dần dần nổi lên, toàn bộ rồng ổ bắt đầu do thần dị đất bắt đầu hướng đại hung đường cùng thay đổi!

	"Dừng lại cho ta!"

	Bắc Phong tiến lên bước ra một bước, há miệng rầy!

	"Rắc rắc!"

	"Ùng ùng!"

	Bắc Phong một bước rơi xuống, đúng vùng đất run rẩy, lấy Bắc Phong bước chân làm trung tâm, chu vi trăm ngàn dặm đất ầm ầm bể tan tành, hướng xuống sụp đổ!

	Cao nhất tôn quý, mang vạn vật mới bắt đầu huyết mạch lực bùng nổ, một đầu mơ hồ Dạ Nha từ Bắc Phong sau lưng hiện lên, che khuất bầu trời, đối với con ngươi từ trong hắc vụ bắn ra, không có cảm tình xem xuống phía dưới Long Mạch!

	Từ xa xa xem ra, Long Mạch quanh co mấy ngàn dặm, không ngừng giãy giụa, giữa không trung, một đầu che khuất bầu trời Dạ Nha quan sát Long Mạch!

	Hai con cự thú đối lập!

	Nhưng sự thật nhưng là ở Dạ Nha huyết mạch bùng nổ ngay tức thì, Long Mạch ngay tức thì bắt đầu run rẩy, không dám nhúc nhích, trong mắt tràn đầy sợ hãi!

	"Cho ta trở về!"

	Bắc Phong gào thét, thanh âm không ngừng vang vọng!

	Long Mạch không nói hai lời, trực tiếp một đầu ghim vào đất đai chỗ sâu, không dám mới đi ra.

	Đừng nói là một đầu xa xa còn chưa thành là thật long Long Mạch, coi như là một đầu chân long ở chỗ này, cũng phải bị Bắc Phong Dạ Nha huyết mạch chấn nhiếp!

	Dĩ nhiên, chấn nhiếp là sẽ bị chấn nhiếp, cũng không đại biểu Bắc Phong dựa vào bây giờ Dạ Nha huyết mạch lực cùng với mình tu vi là có thể đánh bại chân long.

	Gặp Long Mạch chìm vào đất đai, rồng ổ vậy ổn định lại, không có lại tiếp tục đổi thành là tuyệt thế đất dữ, Bắc Phong cũng là thở phào nhẹ nhõm.

	Vạn Cổ thiên tông ngọn núi chính, cao đến mấy trăm ngàn trượng, tựa như một chuôi thần kiếm, mũi kiếm chỉ hướng Thương Khung.

	Một trận đại chiến, Vạn Cổ thiên tông địa vực bên trong không có một bóng người, bảo vệ tông đại trận cũng bị kích phá, vô số đỉnh núi bị dư âm mất đi!

	Toàn bộ tông môn địa vực bên trong, vượt qua hơn phân nửa địa bàn một mảnh hỗn độn, tổn thương thảm trọng.

	Nhưng ngọn núi chính nhưng là tránh thoát một kiếp, cũng không bị liên lụy.

	Bắc Phong leo lên ngọn núi chính, đi tới tông môn trong đại điện, ngồi ở chủ vị trên, triệu tập tứ tán đệ tử.

	Gì đó, nói chuyện

	Phỏng đoán có người đã phát hiện, lão đạo mở ra một bản sách mới, tên sách 《 màn đêm quân vương 》 huyền huyễn phân loại.

	Có thể rất nhiều độc giả sẽ nói, lão đạo a, cái này bản thả câu chư thiên cũng còn không viết xong, nhiều như vậy cái hố không điền, không quá dễ gõ chữ, còn chạy đi mở sách mới, có phải hay không chuẩn bị rối bời?

	Không tồn tại!

	Lão đạo cứ việc viết chậm, nhưng tuyệt đối sẽ không qua loa kết thúc, dẫu sao lão đạo vẫn là phải mặt, biết cảm ân, ít nhất phải không phụ lòng bây giờ còn đang đặt người.

	Nhưng cái này bản thả câu chư thiên bây giờ viết thật viết khó chịu, tác giả cũng không phải là một cái người lười, lúc mới bắt đầu, quyển sách này cập nhật như thế nào, không cần lão đạo nói, một ít độc giả cũ hẳn biết, so sánh với chưa đủ, so dưới có hơn đi.

	Nói nhiều như vậy, cái này bản thả câu chư thiên mỗi ngày cập nhật sẽ không thiếu, không cần lo lắng lại đột nhiên liền hồi kết.

	Lão đạo đẩy rất nhiều sách, đề cử sách của mình thật đúng là lớn cô nương lên kiệu hoa đầu một lần, hy vọng bất kể là khởi điểm, vẫn là sách thành độc giả có thể điểm cái sưu tầm, đầu mấy tờ phiếu đề cử.
