Chương 894: 1 kích phá quân! 
 Converter Dzung Kiều cầu khen thưởng 

	To lớn hoàng thành trước, một người kích phá thần kim chế tạo cửa thành, khiếp sợ mọi người.
	Tướng quân có chút nổi nóng, gặp hắn chút nào không phản ứng mình, nhất thời ra lệnh.

	Phía trước một xếp cung tiễn thủ rối rít kéo ra dây cung, lạnh như băng mũi tên mang để cho người khắp cả người phát rét.

	Cung này chính là dùng giao long cốt chế tạo mà thành, dây cung chính là dùng giao long gân đúc ra, không phải người thường có thể lái được.

	Lúc này làm người ta ê ẩm kẽo kẹt tiếng vang lên, từng cây một mũi tên phá vỡ không gian, mang chói tai tiếng rít hướng Bắc Phong bắn tới!

	Bắc Phong nâng lên cánh tay, kiếm sa răng ông ông tác hưởng, ở Bắc Phong sau lưng thổi phồng đi ra một bộ sinh linh đồ thán máu tanh bức họa.

	"Thần binh trên trời hạ xuống!"

	Bắc Phong nói nhỏ, giọng ôn nhu như tình nhân gian nỉ non.

	"Ông!"

	Kiếm sa răng nháy mắt từ Bắc Phong trong tay phá không rời đi, rồi sau đó ở trên không nổi lên một mảnh màu máu đám mây!

	Màu máu đám mây trong hàm chứa lực lượng làm người ta sợ hãi, làm cho lòng người sợ sợ hãi.

	Một đoạn màu đỏ nhạt vô cùng dữ tợn mũi kiếm từ đám mây trong lộ ra, mang mũi nhọn kinh người cùng uy áp, chậm rãi hạ xuống!

	Cái này chỉ là bắt đầu, từng chuôi kiếm sa răng từ đám mây trong lộ ra, hướng phía dưới rủ xuống.

	"Phốc!"

	Lớn vô cùng kiếm thể còn chưa rơi xuống, chỗ phía dưới với mũi kiếm mũi nhọn chỗ mọi người thân thể đã là bắt đầu văng tung tóe, vô hình mũi nhọn bao phủ toàn trường!

	"Oanh!"

	Từng chuôi tiếp thiên liên địa kiếm sa răng hạ xuống, nặng nề đâm vào đất đai!

	Bụi mù nổi lên bốn phía!

	Vô số người khổng lồ rối rít né tránh, đất đai sa vào, nứt ra từng đạo kẽ hở, còn có rất nhiều người khổng lồ tới không kịp né tránh, bị mũi nhọn kiếm khí nơi khuấy bể!

	Một mảnh tiếng kêu rên vang lên, khắp nơi đều là máu tươi cùng chân tay cụt.

	Mà cái này còn không có xong!

	Tổng cộng ba mươi sáu cây kiếm sa răng cắm vào đất đai, không có vào chuôi kiếm, phân bố trí ở chu vi mấy chục cây số.

	Lúc này từng chuôi kiếm sa răng run run,

	Lẫn nhau đồng tình, từng đạo kiếm khí bắn tán loạn, rồi sau đó ầm ầm nổ tung!

	Giờ khắc này, biểu tình của tất cả mọi người đều là định cách, tiếng gió biến mất không gặp, đất đai một mảnh tĩnh mịch.

	Ước chừng ngay tức thì, kèm theo mà đến chính là chấn động mãnh liệt, mặt đất nứt ra khe hở, từng cổ một nham thạch nóng chảy phóng lên cao, ngàn trượng cao tường thành bị cái này cổ chấn động xé, nứt ra từng đạo chỗ rách.

	Chu vi mấy chục cây số, trừ Bắc Phong dưới chân đất, hết thảy đều bị mất đi!

	Mấy chục vạn đại quân ở chỗ này một kích dưới vẫn diệt!

	Cả tòa hoàng thành ở nơi này một cổ sóng trùng kích dưới, ước chừng gần nửa diện tích tan biến!

	Từng chuôi kiếm sa răng hóa thành hư vô biến mất không gặp, trên trời cao, đỏ như màu máu càng thêm tươi đẹp, mắt sáng, tản ra kinh người mùi máu tanh.

	"Leng keng!"

	Kiếm sa răng bản thể tự minh, như là ở vui sướng, đang hoan hô.

	Một cái năm thước dài kiếm sa răng từ trên không rủ xuống, trở lại Bắc Phong trong tay.

	Sa răng trên thân kiếm kẽ hở đã biến mất hơn nửa, còn dư lại gần nửa cũng đang nhanh chóng tu bổ.

	Thân kiếm toàn thân đỏ nhạt, mơ hồ có thể gặp thân kiếm trong có vô số huyết dịch đang chảy xuôi.

	"Ngươi bây giờ đã mạnh như vậy sao? Ban đầu tại sao không nói với mà đừng?"

	Hạ Cơ thần sắc phức tạp, há miệng, rất nhiều lời nói hội tụ thành hai câu này.

	"Đúng vậy, ban đầu cũng là không có biện pháp, lần này cũng giống vậy, ta sẽ không ngây ngô quá lâu thời gian, cho nên do chính ngươi tới quyết định, là theo ta rời đi, vẫn là. ."

	Bắc Phong ôn hòa vừa nói, mỉm cười cười một tiếng.

	Nói thế nào vị này cũng là danh nghĩa mình lên vợ à, cứ việc ban đầu có chút trò đùa, nhưng Bắc Phong nhớ hắn ân tình.

	Nếu không phải Hạ Cơ dành cho mình pháp thiên tướng địa công pháp, có thể mình còn cần đi rất nhiều đường quanh co mới có thể đạt cho tới bây giờ trình độ.

	"Ta cũng không tùy ngươi rời đi, nơi này mới là nhà ta, còn có ta tộc nhân, có thể cuối cùng sẽ giúp ta một chuyện sao?"

	Hạ Cơ thần sắc biến đổi, lúc này phúc tới tâm linh Hạ Cơ giống như là rõ ràng, thật sâu nhìn Bắc Phong một cái một cái sau đó, cự tuyệt Bắc Phong đề nghị.

	Bắc Phong nghe Hạ Cơ trả lời sau đó cũng là sững sờ, không nghĩ tới Hạ Cơ sẽ trả lời như vậy.

	"Là ta quá ích kỷ, cân nhắc không chu toàn."

	Bắc Phong trong lòng yên lặng suy nghĩ, mình muốn mang Hạ Cơ rời đi, cố nhiên là xuất từ ý tốt, nhưng mình nhưng là chắc hẳn phải vậy.

	Đối với Hạ Cơ mà nói, nơi đây mới là sinh nàng nuôi nàng, có tộc nhân địa phương.

	Nếu là theo mình rời đi, hết thảy tất cả đều đưa cách Hạ Cơ đi.

	Há chẳng phải là như mình vậy, trên đời cô độc, thà hoàn toàn xa lạ.

	Trọng yếu nhất chính là mình không cho được Hạ Cơ một cái tương lai.

	"Ta hiểu ý, cần ta làm gì?"

	Bắc Phong sau khi nghĩ thông suốt, thần sắc có chút phức tạp.

	"Tru diệt Hạ Bằng!"

	Hạ Cơ tràn đầy hận ý, hết thảy các thứ này đều là bởi vì Hạ Bằng.

	"Được."

	Bắc Phong không có nói nhiều, gật đầu một cái, vận dụng thiên địa linh khí bao quanh Hạ Cơ, hướng xa xa chạy tới.

	Ở nơi đó có mấy đạo hơi thở rất đặc biệt mạnh mẽ, ở Bắc Phong trong cảm giác, trong đó một đạo thậm chí sánh bằng địa hoàng cảnh hơi thở.

	Bắc Phong mang Hạ Cơ gào thét đi xa, mà phía dưới, còn may mắn sống sót người khổng lồ lộ ra sợ hãi rối rít chạy trốn.

	Một màn này có thể làm cho những thứ này đồ sộ một đời người cũng sống đang sợ hãi chính giữa!
