converter Dzung Kiều cầu vote * cao (nhớ qua web mới được )

	Định theo Marsh kết hội làm ăn, có thành công hay không Diệp Đông Thanh cũng không có vấn đề.

	Mục đích chủ yếu, thật ra thì vẫn là muốn để cho mình theo Marsh bây giờ liên lạc được càng chặt chẽ hết thảy, Diệp Đông Thanh biết mình ý tưởng, nhưng lại không biết nàng nghĩ như thế nào, bây giờ quan hệ không tệ, nhưng mà sau này thì sao?

	Người luôn là sẽ thành, nhất là cô nương trẻ tuổi, ý tưởng rất dễ dàng phát sinh biến hóa, trước mặt quan hệ cũng không tệ lắm, tương đối ổn định, cũng không ý nghĩa sau này cũng sẽ như vậy.

	Nếu như kết hội làm ăn, không thể nói trăm phần trăm ổn thỏa, chí ít có thể so với bây giờ càng dày đặc thiết chút, trừ hiện hữu quan hệ ra, lại sẽ trở thành là trên phương diện làm ăn người hùn vốn, trừ cái này ra bận rộn chút cũng tốt, nếu như bề bộn nhiều việc, nàng cũng sẽ không có như vậy nhiều thời gian rỗi rãnh đi suy nghĩ bậy bạ.

	Không biết ở đâu thấy được qua, có tâm lý học chuyên gia cho rằng rất nhiều mâu thuẫn đều là rỗi rãnh đi ra ngoài, hai bên đều có lâu dài công tác vợ chồng, thường thường so một khối công tác quan hệ vợ chồng hơn nữa hài hòa.

	Rất có đạo lý, cũng bận bịu, mệt mỏi cũng không có hứng thú quản những thứ khác.

	Điểm nhỏ này mưu kế Marsh không nhìn ra, nàng thật lấy là Diệp Đông Thanh đối với cái này được cảm thấy hứng thú, mới vừa đúng dịp sắp tốt nghiệp, thời gian vậy hơn, nước Pháp bên kia có đi hay không đã không có vấn đề, đang suy nghĩ muốn không muốn giúp Diệp Đông Thanh một chút bận bịu, đồng thời cũng đi thực hiện càng hơn tự mình giá trị.

	Còn như kiếm tiền, vị này đã đặc biệt cô nương giàu có là thật không thèm để ý, vô luận Marsh vẫn là Laura, hay hoặc giả là tiểu Edward, Richard các người, chỉ cần nghe Diệp Đông Thanh đề nghị ở ban đầu đầu Internet sản nghiệp cổ phiếu, ai không là đảo lần kiếm tiền?

	Vẫn là câu nói kia, vui vẻ trọng yếu nhất.

	Ăn bữa ăn tối thời điểm câu thông hoàn, trò chuyện một chút làng du lịch ý nghĩ, xác định vị trí chủ yếu là thư thích, xa hoa, phong cảnh mê người, giao thông tiện lợi vân... vân, một tòa làng du lịch một cái phong cách, đầu tư không tốn mấy đồng tiền, dù sao khẳng định không năm ngoái Diệp Đông Thanh quyên đi ra vậy hơn 1 tỷ USD hơn, không phải dùng cho nghiên cứu, nghiên cứu vân... vân, thật cứ như vậy đem vàng thật bạc trắng quyên đi ra ngoài, thậm chí phái đội người, đặc biệt đi Phi Châu tuyên truyền chỉ có thể uống đốt mở sau nước.

	Không thiếu địa phương còn rất lạc hậu, rất nhiều hơn tật bệnh là vì dốt nát, giáo sư kinh nghiệm, có lúc so trực tiếp cho dân bản xứ đồ quan trọng hơn.

	Tỷ như màn, trước kia Diệp Đông Thanh quyên qua, sau đó không ít người cũng cầm tới xuống sông mò cá, khoan hãy nói, căn cứ một ít phim phóng sự bên trong ghi lại, thật có thể bắt được không thiếu cá.

	Hắn có thể nói gì đây? Sau đó liền thay đổi chủ ý, đem càng hơn tiền vốn ném vào phát triển Trung Quốc nhà, một bên làm từ thiện một bên kiếm tiền, tránh chỉ thấy lợi trước mắt.

	Danh tiếng quá tốt, cho dù có người muốn cầm hắn làm "Làm giàu bất nhân " ra mặt chim, cũng phải trước suy nghĩ một chút có thể hay không đưa đến hiệu quả ngược, chỉ cần tuyệt đại đa số các truyền thông đều nghĩ như vậy, Diệp Đông Thanh làm từ thiện bộ phận mục đích liền đạt thành.

	Thật làm chuyện tốt, đồng thời cũng để cho mình qua được thoải mái, như vậy tốt nhất, hắn Facebook người giới thiệu vắn tắt, đã bị đổi thành "Nhà từ thiện", trước những cái kia khoe khoang chức vụ tất cả đều thủ tiêu, đây là giao tiếp cửa ý nghĩa, có người đặc biệt phụ trách bảo vệ hắn trong xã hội hình tượng.

	Nên làm vận động đã làm qua, buổi tối còn mang cái mũ đội, cùng Marsh cùng nhau ở bờ biển đi, vì để tránh cho bị ai nhận ra, vành nón bị đè rất thấp, cơ hồ che ở nửa gương mặt.

	Không thể không nói, Marsh đúng là vị đặc biệt cô gái xinh đẹp, da thịt trắng noãn, vóc người thon dài, mặt mũi lý tử đều có, theo hắn chung một chỗ, như cũ có thể để cho Diệp Đông Thanh cảm thấy buông lỏng.

	Hắn giờ phút này nghĩ đến cái gì, dắt tay đối phương nghiêng đầu hỏi nói: "Ta còn chờ ngươi thành là tranh sơn dầu giới đại sư đâu, trước kia từ ở trên tay ngươi mua tranh sơn dầu vẫn còn ở trong nhà ta, chẳng lẽ chỉ như vậy buông tha? Tựa hồ đã rất lâu không có nghe ngươi nhắc tới bức tranh tranh sơn dầu, chí ít hẳn hơn cử hành mấy trận triển lãm tranh thử một chút, ta có thể giúp một tay."

	"Đã không cần phải, biết rõ vượt hơn ta lại càng cảm thấy, chân chính tranh sơn dầu nghệ thuật đã đi tới cuối, phái trừu tượng, phái cổ điển, phong cảnh, nhân vật, yên tĩnh vật, các loại các loại, cơ hồ đều là năm đó đồ, rất khó lại còn phát triển, thường xuyên có người nói mình sáng lập một cái mới lưu phái, nhưng cũng không phải tùy tiện làm ra chút gì, liền thật thành mới lưu phái.

	Cho nên à, cái này làm cho ta cảm thấy không thú vị, tác phẩm nghệ thuật đã trở thành các ngươi nhà giàu tránh thuế phương thức, dùng công ty hoặc người danh nghĩa mua, để trừ thuế lợi tức cá nhân, xí nghiệp thuế lợi tức, còn có thể tránh khỏi hết bộ phận di sản thuế, đem tác phẩm nghệ thuật giá trị không ngừng đẩy cao, là như vậy đối với chứ ?"

	"Không phải các ngươi nhà giàu, là chúng ta, ngươi vậy rất giàu có à."

	Diệp Đông Thanh cười nói, năm đó hắn chính là làm rửa tiền, trong này đường đi nước bước hắn so Marsh rõ ràng, biết là lời thật, vì vậy không phản bác ý tưởng, cẩn thận nhắc tới, lại có bao nhiêu người thật bởi vì thích, đi tiêu phí mấy chục triệu, thậm chí hơn trăm triệu USD mua một kiện tác phẩm nghệ thuật đâu, chính là bởi vì niên đại hòa bình tiếp bàn hiệp quá hơn, rửa tiền thời điểm thường xuyên vậy muốn mượn những thứ này đường dây để cho vốn lưu động đi ra ngoài.

	Mang một bức họa, một kiện đồ sứ vượt biên, có thể so với mang mấy triệu, hơn mười triệu hiện tiền giấy vượt biên dễ dàng hơn.

	"Không thích vậy coi như xong, làm ta chưa nói qua, cũng có thể làm hứng thú thỉnh thoảng vẽ mà, ta thích xem ngươi nghiêm túc thời điểm dáng vẻ."

	Marsh biết Diệp Đông Thanh cũng ở đây sưu tầm các loại quý giá vật phẩm, cũng không phải là xem ai cũng khó chịu đấu sĩ, đề tài khu vực mà qua, quay lại nói: "Ta nhớ chúng ta lần đầu tiên ngồi ở trên lầu thời điểm, liền thảo luận qua vẽ chuyện, đã qua rất lâu rồi, ta vẫn là ta, ngươi bây giờ thành công cũng làm cho ta khó mà tin tưởng.

	Đối với tương lai, ngươi có ý tưởng và dự định sao, không phải chỉ trên phương diện làm ăn chuyện, mà là đời người, gần đây thỉnh thoảng ta sẽ cảm thấy mê mang, cảm thấy sinh hoạt rất không thú vị."

	"Ta cũng nghĩ tới cái vấn đề này, đại khái coi như là ở người giàu đoàn thể trong tương đối phổ biến trạng thái, mượn dùng trong phim ảnh vậy mấy câu, đời người luôn là như vậy nhàm chán.

